,CustomerID,Recency,Frequency,Monetary,cluster_label,Recency_log,Frequency_log,Monetary_log
1006,1171064100107B5,640,3,4500,3,6.46302945692067,1.3862943611198906,8.412054873292933
1007,1171064100107B6,640,8,1043400,2,6.46302945692067,2.1972245773362196,13.857996127975184
1008,1171064100203B1,640,32,3728700,2,6.46302945692067,3.4965075614664802,15.131570473591662
1009,1171064100203B5,640,2,265000,0,6.46302945692067,1.0986122886681098,12.487488878546145
1010,1171064100203B6,640,7,1639500,2,6.46302945692067,2.0794415416798357,14.30990248520871
1011,1171064100204B1,640,2,303200,0,6.46302945692067,1.0986122886681098,12.622151230897948
1012,1171064100204B4,640,501,3489930,1,6.46302945692067,6.218600119691729,15.065392523209526
1013,1171064100204B5,640,23,1701500,2,6.46302945692067,3.1780538303479458,14.347021360639646
1014,1171064100205B1,640,6,66900,0,6.46302945692067,1.9459101490553132,11.110969193687714
1015,1171064100205B3,640,80,746720,2,6.46302945692067,4.394449154672439,13.523446900372804
1016,1171064100205B5,640,2,2052400,0,6.46302945692067,1.0986122886681098,14.534520885284286
1017,1171064100205B6,640,10,1144200,2,6.46302945692067,2.3978952727983707,13.950217134789265
1018,1171064100206B3,640,16,470900,2,6.46302945692067,2.833213344056216,13.06240315982251
1019,1171064100206B4,640,1,15000,3,6.46302945692067,0.6931471805599453,9.61587214452889
1020,1171064100206B5,640,21,322000,2,6.46302945692067,3.091042453358316,12.682309930111785
1021,1171064100206B6,640,81,12010030,1,6.46302945692067,4.406719247264253,16.301252775235184
1022,1171064100207B4,640,2,65000,3,6.46302945692067,1.0986122886681098,11.082157933374816
1023,1171064100207B5,640,3,6500,3,6.46302945692067,1.3862943611198906,8.77971129020447
1024,1171069000102B5,640,13,238550,0,6.46302945692067,2.6390573296152584,12.38233840292876
1025,1171069000104B1,640,5,63100,0,6.46302945692067,1.791759469228055,11.052491896264268
1026,1171069000104B3,640,20,352000,2,6.46302945692067,3.044522437723423,12.77138929548529
1027,1171069000104B5,640,58,551800,2,6.46302945692067,4.07753744390572,13.220942753014496
1028,1171069000104B6,640,1,280000,0,6.46302945692067,0.6931471805599453,12.54254845357358
1029,1171069000105B1,640,1,17000,3,6.46302945692067,0.6931471805599453,9.741027444837728
1030,1171069000105B4,640,262,1871590,1,6.46302945692067,5.572154032177765,14.442299429242825
1031,1171069000105B5,640,42,2891440,2,6.46302945692067,3.7612001156935624,14.87726555173796
1032,1171069000106B3,640,48,803780,2,6.46302945692067,3.8918202981106265,13.597082122997037
1033,1171069000107B1,640,1,180000,0,6.46302945692067,0.6931471805599453,12.100717685412471
1034,1171069000107B3,640,76,1309940,2,6.46302945692067,4.343805421853684,14.085492655995147
1035,1171069000202B3,640,17,121500,0,6.46302945692067,2.8903717578961645,11.707677772181546
1036,1171069000202B5,640,2,303000,0,6.46302945692067,1.0986122886681098,12.621491384816093
1037,1171069000203B3,640,12,184000,0,6.46302945692067,2.5649493574615367,12.122696471358964
1038,1171069000203B5,640,7,813000,0,6.46302945692067,2.0794415416798357,13.608487618541492
1039,1171069000203B8,640,8,70000,0,6.46302945692067,2.1972245773362196,11.156264806643742
1040,1171069000204B1,640,5,1820000,2,6.46302945692067,1.791759469228055,14.414347608503377
1041,1171069000204B4,640,24,225000,2,6.46302945692067,3.2188758248682006,12.323860125621126
1042,1171069000204B5,640,13,122800,0,6.46302945692067,2.6390573296152584,11.718320437984499
1043,1171069000204B8,640,1,740000,0,6.46302945692067,0.6931471805599453,13.51440681653079
1044,1171069000205B4,640,19,166500,2,6.46302945692067,2.995732273553991,12.022756594390605
1045,1171069000206B1,640,4,62300,0,6.46302945692067,1.6094379124341003,11.03973275601109
1046,1171069000206B3,640,416,10848610,1,6.46302945692067,6.0330862217988015,16.199547611322505
1047,1171069000207B1,640,13,183870,0,6.46302945692067,2.6390573296152584,12.121989703758214
1048,1171069000207B5,640,126,4671710,1,6.46302945692067,4.844187086458591,15.357035943700211
1049,2611051000102B1,640,22,385800,2,6.46302945692067,3.1354942159291497,12.863076971466995
1050,2611051000102B3,640,20,156200,2,6.46302945692067,3.044522437723423,11.958898918415885
1051,2611051000102B5,640,1,40000,3,6.46302945692067,0.6931471805599453,10.596659732783579
1052,2611051000103B3,640,66,2574500,1,6.46302945692067,4.204692619390966,14.761166286893195
1053,2611051000103B4,640,7634,836867580,1,6.46302945692067,8.940498217652733,20.54517640924719
1054,2611051000103B6,640,6,942600,0,6.46302945692067,1.9459101490553132,13.7563983543666
1055,2611051000104B1,640,89,5378810,1,6.46302945692067,4.499809670330265,15.497977903995574
1056,2611051000104B5,640,83,771500,2,6.46302945692067,4.430816798843313,13.556093246960792
